"name","lon","lat","age_max","age_min"
"Walshina_esmaraldensis",-98.28,39.4,46.2,40.4
"Walshina_mcgrewi",-85.96,49.88,46.2,40.4
"Walshina_shifrae",-85.96,49.88,46.2,40.4
"Washakius_insignis",-85.53,49.05,50.3,46.2
"Washakius_woodringi",-97.1,38.09,46.2,37.2
"Worlandia_inusitata",-78.79,52.74,56.8,55.8
"Xanthorhysis_tabrumi",109.06,33.77,48.6,37.2
"Xenothrix_mcgregori",-77.215047,17.740021,0.001511,0.001443
"Yaquius_travisi",-98.28,39.4,46.2,40.4
"Yuanmoupithecus_xiaoyuan",100.46,25.2529,8.2,7.1
"Yunnanadapis_folivorus",105.16,22.06,33.9,28.4
